Time - Force	Amplitude - Force
110,8m	-0,1
111,4m	-0,1
112,0m	-0,1
112,6m	-0,1
113,2m	-0,1
113,8m	-0,1
114,4m	-0,1
115,0m	-0,1
115,6m	-0,1
116,2m	-0,1
116,9m	-0,1
117,5m	-0,1
118,1m	-0,1
118,7m	-0,1
119,3m	-0,1
119,9m	-0,1
120,5m	-0,1
121,1m	-0,1
121,7m	-0,1
122,3m	-0,1
122,9m	-0,1
123,5m	-0,1
124,1m	-0,1
124,7m	-0,1
125,3m	-0,1
125,9m	-0,1
126,5m	-0,1
127,1m	-0,1
127,8m	-0,1
128,4m	-0,1
129,0m	-0,1
129,6m	-0,1
130,2m	-0,1
130,8m	-0,1
131,4m	-0,1
132,0m	-0,1
132,6m	-0,1
133,2m	-0,1
133,8m	-0,1
134,4m	-0,1
135,0m	-0,1
135,6m	-0,1
136,2m	-0,1
136,8m	-0,1
137,4m	-0,1
138,0m	-0,1
138,7m	-0,1
139,3m	-0,1
139,9m	-0,1
140,5m	-0,1
141,1m	-0,1
141,7m	-0,1
142,3m	-0,1
142,9m	-0,1
143,5m	-0,1
144,1m	-0,1
144,7m	-0,1
145,3m	-0,1
145,9m	-0,1
146,5m	-0,1
147,1m	-0,1
147,7m	-0,1
148,3m	-0,1
148,9m	-0,1
149,6m	-0,1
150,2m	-0,1
150,8m	-0,1
151,4m	-0,1
152,0m	-0,1
152,6m	-0,1
153,2m	-0,1
153,8m	-0,1
154,4m	-0,1
155,0m	-0,1
155,6m	-0,1
156,2m	-0,1
156,8m	-0,1
157,4m	-0,1
158,0m	-0,1
158,6m	-0,1
159,2m	-0,1
159,8m	-0,1
160,4m	-0,1
161,1m	-0,1
161,7m	-0,1
162,3m	-0,1
162,9m	-0,1
163,5m	-0,1
164,1m	-0,1
164,7m	-0,1
165,3m	-0,1
165,9m	-0,1
166,5m	-0,1
167,1m	-0,1
167,7m	-0,1
168,3m	-0,1
168,9m	-0,1
169,5m	-0,1
170,1m	-0,1
170,7m	-0,1
171,3m	-0,1
172,0m	-0,1
172,6m	-0,1
173,2m	-0,1
173,8m	-0,1
174,4m	-0,1
175,0m	-0,1
175,6m	-0,1
176,2m	-0,1
176,8m	-0,1
177,4m	-0,1
178,0m	-0,1
178,6m	-0,1
179,2m	-0,1
179,8m	-0,1
180,4m	-0,1
181,0m	-0,1
181,6m	-0,1
182,2m	-0,1
182,9m	-0,1
183,5m	-0,1
184,1m	-0,1
184,7m	-0,1
185,3m	-0,1
185,9m	-0,1
186,5m	-0,1
187,1m	-0,1
187,7m	-0,1
188,3m	-0,1
188,9m	-0,1
189,5m	-0,1
190,1m	-0,1
190,7m	-0,1
191,3m	-0,1
191,9m	-0,1
192,5m	-0,1
193,1m	-0,1
193,8m	-0,1
194,4m	-0,1
195,0m	-0,1
195,6m	-0,1
196,2m	-0,1
196,8m	-0,1
197,4m	-0,1
198,0m	-0,1
198,6m	-0,1
199,2m	-0,1
199,8m	-0,1
200,4m	-0,1
201,0m	-0,1
201,6m	-0,1
202,2m	-0,1
202,8m	-0,1
203,4m	-0,1
204,0m	-0,1
204,6m	-0,1
205,3m	-0,1
205,9m	-0,1
206,5m	-0,1
207,1m	-0,1
207,7m	-0,1
208,3m	-0,1
208,9m	-0,1
209,5m	-0,1
210,1m	-0,1
210,7m	-0,1
211,3m	-0,1
211,9m	-0,1
212,5m	-0,1
213,1m	-0,1
213,7m	-0,1
214,3m	-0,1
214,9m	-0,1
215,5m	-0,1
216,2m	-0,1
216,8m	-0,1
217,4m	-0,1
218,0m	-0,1
218,6m	-0,1
219,2m	-0,1
219,8m	-0,1
220,4m	-0,1
221,0m	-0,1
221,6m	-0,1
222,2m	-0,1
222,8m	-0,1
223,4m	-0,1
224,0m	-0,1
224,6m	-0,1
225,2m	-0,1
225,8m	-0,1
226,4m	-0,1
227,1m	-0,1
227,7m	-0,1
228,3m	-0,1
228,9m	-0,1
229,5m	-0,1
230,1m	-0,1
230,7m	-0,1
231,3m	-0,1
231,9m	-0,1
232,5m	-0,1
233,1m	-0,1
233,7m	-0,1
234,3m	-0,1
234,9m	-0,1
235,5m	-0,1
236,1m	-0,1
236,7m	-0,1
237,3m	-0,1
237,9m	-0,1
238,6m	-0,1
239,2m	-0,1
239,8m	-0,1
240,4m	-0,1
241,0m	-0,1
241,6m	-0,1
242,2m	-0,1
242,8m	-0,1
243,4m	-0,1
244,0m	-0,1
244,6m	-0,1
245,2m	-0,1
245,8m	-0,1
246,4m	-0,1
247,0m	-0,1
247,6m	-0,1
248,2m	-0,1
248,8m	-0,1
249,5m	-0,1
250,1m	-0,1
250,7m	-0,1
251,3m	-0,1
251,9m	-0,1
252,5m	-0,1
253,1m	-0,1
253,7m	-0,1
254,3m	-0,1
254,9m	-0,1
255,5m	-0,1
256,1m	-0,1
256,7m	-0,1
257,3m	-0,1
257,9m	-0,1
258,5m	-0,1
259,1m	-0,1
259,7m	-0,1
260,4m	-0,1
261,0m	-0,1
261,6m	-0,1
262,2m	-0,1
262,8m	-0,1
263,4m	-0,1
264,0m	-0,1
264,6m	-0,1
265,2m	-0,1
265,8m	-0,1
266,4m	-0,1
267,0m	-0,1
267,6m	-0,1
268,2m	-0,1
268,8m	-0,1
