Time - Force	Amplitude - Force
841,0m	-0,1
841,6m	-0,1
842,2m	-0,1
842,8m	-0,1
843,4m	-0,1
844,0m	-0,1
844,6m	-0,1
845,2m	-0,1
845,8m	-0,1
846,4m	-0,1
847,1m	-0,1
847,7m	-0,1
848,3m	-0,1
848,9m	-0,1
849,5m	-0,1
850,1m	-0,1
850,7m	-0,1
851,3m	-0,1
851,9m	-0,1
852,5m	-0,1
853,1m	-0,1
853,7m	-0,1
854,3m	-0,1
854,9m	-0,1
855,5m	-0,1
856,1m	-0,1
856,7m	-0,1
857,3m	-0,1
857,9m	-0,1
858,6m	-0,1
859,2m	-0,1
859,8m	-0,1
860,4m	-0,1
861,0m	-0,1
861,6m	-0,1
862,2m	-0,1
862,8m	-0,1
863,4m	-0,1
864,0m	-0,1
864,6m	-0,1
865,2m	-0,1
865,8m	-0,1
866,4m	-0,1
867,0m	-0,1
867,6m	-0,1
868,2m	-0,1
868,8m	-0,1
869,5m	-0,1
870,1m	-0,1
870,7m	-0,1
871,3m	-0,1
871,9m	-0,1
872,5m	-0,1
873,1m	-0,1
873,7m	-0,1
874,3m	-0,1
874,9m	-0,1
875,5m	-0,1
876,1m	-0,1
876,7m	-0,1
877,3m	-0,1
877,9m	-0,1
878,5m	-0,1
879,1m	-0,1
879,7m	-0,1
880,4m	-0,1
881,0m	-0,1
881,6m	-0,1
882,2m	-0,1
882,8m	-0,1
883,4m	-0,1
884,0m	-0,1
884,6m	-0,1
885,2m	-0,1
885,8m	-0,1
886,4m	-0,1
887,0m	-0,1
887,6m	-0,1
888,2m	-0,1
888,8m	-0,1
889,4m	-0,1
890,0m	-0,1
890,6m	-0,1
891,2m	-0,1
891,9m	-0,1
892,5m	-0,1
893,1m	-0,1
893,7m	-0,1
894,3m	-0,1
894,9m	-0,1
895,5m	-0,1
896,1m	-0,1
896,7m	-0,1
897,3m	-0,1
897,9m	-0,1
898,5m	-0,1
899,1m	-0,1
899,7m	-0,1
900,3m	-0,1
900,9m	-0,1
901,5m	-0,1
902,1m	-0,1
902,8m	-0,1
903,4m	-0,1
904,0m	-0,1
904,6m	-0,1
905,2m	-0,1
905,8m	-0,1
906,4m	-0,1
907,0m	-0,1
907,6m	-0,1
908,2m	-0,1
908,8m	-0,1
909,4m	-0,1
910,0m	-0,1
910,6m	-0,1
911,2m	-0,1
911,8m	-0,1
912,4m	-0,1
913,0m	-0,1
913,7m	-0,1
914,3m	-0,1
914,9m	-0,1
915,5m	-0,1
916,1m	-0,1
916,7m	-0,1
917,3m	-0,1
917,9m	-0,1
918,5m	-0,1
919,1m	-0,1
919,7m	-0,1
920,3m	-0,1
920,9m	-0,1
921,5m	-0,1
922,1m	-0,1
922,7m	-0,1
923,3m	-0,1
923,9m	-0,1
924,6m	-0,1
925,2m	-0,1
925,8m	-0,1
926,4m	-0,1
927,0m	-0,1
927,6m	-0,1
928,2m	-0,1
928,8m	-0,1
929,4m	-0,1
930,0m	-0,1
930,6m	-0,1
931,2m	-0,1
931,8m	-0,1
932,4m	-0,1
933,0m	-0,1
933,6m	-0,1
934,2m	-0,1
934,8m	-0,1
935,4m	-0,1
936,1m	-0,1
936,7m	-0,1
937,3m	-0,1
937,9m	-0,1
938,5m	-0,1
939,1m	-0,1
939,7m	-0,1
940,3m	-0,1
940,9m	-0,1
941,5m	-0,1
942,1m	-0,1
942,7m	-0,1
943,3m	-0,1
943,9m	-0,1
944,5m	-0,1
945,1m	-0,1
945,7m	-0,1
946,3m	-0,1
947,0m	-0,1
947,6m	-0,1
948,2m	-0,1
948,8m	-0,1
949,4m	-0,1
950,0m	-0,1
950,6m	-0,1
951,2m	-0,1
951,8m	-0,1
952,4m	-0,1
953,0m	-0,1
953,6m	-0,1
954,2m	-0,1
954,8m	-0,1
955,4m	-0,1
956,0m	-0,1
956,6m	-0,1
957,2m	-0,1
957,9m	-0,1
958,5m	-0,1
959,1m	-0,1
959,7m	-0,1
960,3m	-0,1
960,9m	-0,1
961,5m	-0,1
962,1m	-0,1
962,7m	-0,1
963,3m	-0,1
963,9m	-0,1
964,5m	-0,1
965,1m	-0,1
965,7m	-0,1
966,3m	-0,1
966,9m	-0,1
967,5m	-0,1
968,1m	-0,1
968,7m	-0,1
969,4m	-0,1
970,0m	-0,1
970,6m	-0,1
971,2m	-0,1
971,8m	-0,1
972,4m	-0,1
973,0m	-0,1
973,6m	-0,1
974,2m	-0,1
974,8m	-0,1
975,4m	-0,1
976,0m	-0,1
976,6m	-0,1
977,2m	-0,1
977,8m	-0,1
978,4m	-0,1
979,0m	-0,1
979,6m	-0,1
980,3m	-0,1
980,9m	-0,1
981,5m	-0,1
982,1m	-0,1
982,7m	-0,1
983,3m	-0,1
983,9m	-0,1
984,5m	-0,1
985,1m	-0,1
985,7m	-0,1
986,3m	-0,1
986,9m	-0,1
987,5m	-0,1
988,1m	-0,1
988,7m	-0,1
989,3m	-0,1
989,9m	-0,1
990,5m	-0,1
991,2m	-0,1
991,8m	-0,1
992,4m	-0,1
993,0m	-0,1
993,6m	-0,1
994,2m	-0,1
994,8m	-0,1
995,4m	-0,1
996,0m	-0,1
996,6m	-0,1
997,2m	-0,1
997,8m	-0,1
998,4m	-0,1
999,0m	-0,1
999,6m	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,2
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,1	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	0
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	-0,1
1,2	0
1,2	-0,1
1,2	0
1,2	-0,1
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0
1,2	0,1
1,2	0,1
1,2	0
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,1
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,2
1,2	0,3
1,2	0,2
1,2	0,2
1,2	0,2
1,3	0,2
1,3	0,2
1,3	0,2
1,3	0,2
1,3	0,2
1,3	0,2
1,3	0,2
1,3	0,1
1,3	0,2
1,3	0,1
1,3	0,2
1,3	0
1,3	0,3
1,3	-0,2
1,3	2,5
1,3	10
1,3	17,7
1,3	25,9
1,3	33
1,3	38,3
1,3	40,7
1,3	38,6
1,3	32,7
1,3	25,2
1,3	17,7
1,3	11,9
1,3	7,9
1,3	5,2
1,3	3,2
1,3	1,7
1,3	0,6
1,3	-0,1
1,3	-0,4
1,3	-0,3
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,4
1,3	-0,5
1,3	-0,5
1,3	-0,5
1,3	-0,5
1,3	-0,5
1,3	-0,5
1,3	-0,5
1,3	-0,5
1,3	-0,6
1,3	-0,6
1,3	-0,7
1,3	0,1
1,3	2,1
1,3	4,1
1,3	6
1,3	7,7
1,3	9,1
1,3	10
1,3	10,3
1,3	9,9
1,3	9,1
1,3	7,8
1,3	6,4
1,3	4,9
1,3	3,6
1,3	2,4
1,3	1,4
1,3	0,6
1,3	-0,1
1,3	-0,5
1,3	-0,7
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,9
1,3	-0,8
1,3	-0,9
1,3	-0,9
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1,1
1,3	-1,1
1,3	-1
1,3	-1,1
1,3	-1
1,3	-0,6
1,3	-0,3
1,3	0
1,3	0,2
1,3	0,3
1,3	0,3
1,3	0,2
1,3	0
1,3	-0,4
1,3	-0,8
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1,1
1,3	-1
1,3	-1,1
1,3	-1
1,3	-1
1,3	-1,1
1,3	-1,1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,3	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-1
1,4	-0,9
1,4	-1
1,4	-1
1,4	-1
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,9
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,9
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,7
1,4	-0,8
1,4	-0,8
1,4	-0,8
1,4	-0,7
1,4	-0,8
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,7
1,4	-0,6
1,4	-0,7
1,4	-0,6
1,4	-0,7
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,7
1,4	-0,6
1,4	-0,6
1,4	-0,7
1,4	-0,7
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,4	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,6
1,5	-0,5
1,5	-0,5
1,5	-0,6
1,5	-0,6
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,6
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,5	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,4
1,6	-0,5
1,6	-0,5
1,6	-0,5
1,6	-0,4
1,6	-0,5
1,6	-0,4
1,6	-0,5
1,6	-0,4
1,6	-0,5
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,5
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,6	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,3
1,7	-0,3
1,7	-0,4
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,4
1,7	-0,3
1,7	-0,3
1,7	-0,4
1,7	-0,3
1,7	-0,4
1,7	-0,4
1,7	-0,4
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,4
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,4
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,7	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,2
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,3
1,8	-0,2
